FLOM HBC 
FLON hbc 
FNOM OCB 
FNON ocb 
FNOI OCJ 
FNOH ocj 
FOOM HBD 
FOON hbd 
FPOM HCB 
FPON hcb 
FROM HCC 
FRON hcc 
FSOM ODB 
FSON odb 
FSOI ODJ 
FSOH odj 
FTOM HCD 
FTON hcd 
FUOM HHB 
FUON hhb 
FVOM HHC 
FVON hhc 
FWOM HHD 
FWON hhd 
FXNI HAG 
FXNH hag 
G1XE AAC 
G1XD aac 
G2XE AAK 
G2XD aak 
G3XE ABC 
G3XD abc 
G4XE ABK 
G4XD abk 
G5XE BAC 
G5XD bac 
G6HG GIA 
G6HF gia 
G6HH GJA 
G6HI gja 
G7HG GKA 
G7HF gka 
G7HH GLA 
G7HI gla 
G8XE BAK 
G8XD bak 
GAXE BBC 
GAXD bbc 
GBXE BBK 
GBXD bbk 
GCPB ECA 
GCPC eca 
GDLG BDA 
GDLF bda 
GDLH BDB 
GDLI bdb 
GDLN BDC 
GDLM bdc 
GDLA BDD 
GDLB bdd 
GEPB ECB 
GEPC ecb 
GIPB ECC 
GIPC ecc 
GLPB ECD 
GLPC ecd 
GMXE MAC 
GMXD mac 
GPXE MAK 
GPXD mak 
GQXE MBC 
GQXD mbc 
GTXE MBK 
GTXD mbk 
GUHG GMA 
GUHF gma 
GUHH GNA 
GUHI gna 
GXHG GPA 
GXHF gpa 
H1XE KAC 
H1XD kac 
H2XE KAK 
H2XD kak 
H3XE KBC 
H3XD kbc 
H4XE KBK 
H4XD kbk 
H5KH ACC 
H5KI acc 
H6KH ACK 
H6KI ack 
H7KH ADC 
H7KI adc 
H8KH ADK 
H8KI adk 
HAPB eka 
HAPC EKA 
HBPB ekb 
HBPC EKB 
HCPB ekc 
HCPC EKC 
HDPB ekd 
HDPC EKD 
HGKH GAC 
HGKI gac 
HHKH GCC 
HHKI gcc 
HIKH GEC 
HIKI gec 
HKKH GGC 
HKKI ggc 
HLLG TTA 
HLLF tta 
HLLH TTB 
HLLI ttb 
HMLG HIA 
HMLF hia 
HMLH HJA 
HMLI hja 
HMLN HKA 
HMLM hka 
HMLA HLA 
HMLB hla 
HNLG HMA 
HNLF hma 
HNLH HNA 
HNLI hna 
HNLN HOA 
HNLM hoa 
HNLA HPA 
HNLB hpa 
HOLG HQA 
HOLF hqa 
HQOM HQB 
HQON hqb 
HROM HQC 
HRON hqc 
HSBI JAC 
HSBH jac 
HTOM HQD 
HTON hqd 
HVBI JAK 
HVBH jak 
HWBI JBC 
HWBH jbc 
HXBI JBK 
HXBH jbk 
