NKPB nag 
NKPC NAG 
NKPD nbg 
NKPE NBG 
NLPB UGA 
NLPC uga 
NLPD UGB 
NLPE ugb 
NNBI pca 
NNBH PCA 
NOBI pab 
NOBH PAB 
NOBF peb 
NOBG PEB 
NPNI GMD 
NPNH gmd 
NQPB KHB 
NQPC khb 
NRBI pcc 
NRBH PCC 
NRBF pgc 
NRBG PGC 
NSBI pcb 
NSBH PCB 
NSBF pgb 
NSBG PGB 
NTLG QAC 
NTLF qac 
NTLH QAD 
NTLI qad 
NTLN QAE 
NTLM qae 
NTLA QAF 
NTLB qaf 
NUKH shd 
NUKI SHD 
NUKF shc 
NUKG SHC 
NWPB nah 
NWPC NAH 
NXPB UHA 
NXPC uha 
NXPD UHB 
NXPE uhb 
O1PB KHA 
O1PC kha 
O1PD KHE 
O1PE khe 
O2DF CHH 
O2DG chh 
O3DF chd 
O3DG CHD 
O4PB ABO 
O4PC abo 
O4PD BBO 
O4PE bbo 
O5PB KHC 
O5PC khc 
O5PD KHG 
O5PE khg 
O7KH chb 
O7KI CHB 
O7KF chc 
O7KG CHC 
O8PB ABP 
O8PC abp 
O8PD BBP 
O8PE bbp 
OAPB KGE 
OAPC kge 
OAPD KGA 
OAPE kga 
OCKH cgb 
OCKI CGB 
OCKF cgc 
OCKG CGC 
ODPB ABI 
ODPC abi 
ODPD BBI 
ODPE bbi 
OEPB KGC 
OEPC kgc 
OEPD KGG 
OEPE kgg 
OFKH CGF 
OFKI cgf 
OFKF CGG 
OFKG cgg 
OGDF cgd 
OGDG CGD 
OHPB ABJ 
OHPC abj 
OHPD BBJ 
OHPE bbj 
OIDF JAG 
OIDG jag 
OJDF CGH 
OJDG cgh 
OKDF cge 
OKDG CGE 
OLPB ABK 
OLPC abk 
OLPD BBK 
OLPE bbk 
OMNI gha 
OMNH GHA 
ONHG EGD 
ONHF egd 
ONHH EGE 
ONHI ege 
OOII EGA 
OOIH ega 
OOIE EGB 
OOID egb 
OOIG EGC 
OOIF egc 
OPPB ABL 
OPPC abl 
OPPD BBL 
OPPE bbl 
OQXE hcd 
OQXD HCD 
OQXF hce 
OQXG HCE 
ORHG EHD 
ORHF ehd 
ORHH EHE 
ORHI ehe 
OSII EHA 
OSIH eha 
OSIE EHB 
OSID ehb 
OSIG EHC 
OSIF ehc 
OTPB ABM 
OTPC abm 
OTPD BBM 
OTPE bbm 
OUDF JAH 
OUDG jah 
OVKH CHF 
OVKI chf 
OVKF CHG 
OVKG chg 
OWDF che 
OWDG CHE 
OXPB ABN 
OXPC abn 
OXPD BBN 
OXPE bbn 
PLHG MAE 
PLHF mae 
PLHH MBE 
PLHI mbe 
PXHG MAF 
PXHF maf 
PXHH MBF 
PXHI mbf 
Q1KH sfa 
Q1KI SFA 
Q1KF sfb 
Q1KG SFB 
Q4PB KFB 
Q4PC kfb 
Q4PD KFF 
Q4PE kff 
Q5HG MCF 
Q5HF mcf 
Q5HH MDF 
Q5HI mdf 
Q7PB FFC 
Q7PC ffc 
Q7PD FFD 
Q7PE ffd 
Q8PB KFD 
Q8PC kfd 
Q8PD KFH 
Q8PE kfh 
QAHG MCE 
QAHF mce 
QAHH MDE 
QAHI mde 
QCPB FEA 
QCPC fea 
QCPD FEB 
QCPE feb 
QDPB KEB 
QDPC keb 
QDPD KEF 
QDPE kef 
QEKH sea 
QEKI SEA 
QEKF seb 
QEKG SEB 
QGPB FEC 
QGPC fec 
QGPD FED 
QGPE fed 
QHPB KED 
QHPC ked 
QHPD KEH 
QHPE keh 
QIKH sed 
QIKI SED 
QIKF sec 
QIKG SEC 
QJPB FFA 
QJPC ffa 
QJPD FFB 
QJPE ffb 
QKPB nae 
QKPC NAE 
QKPD nbe 
QKPE NBE 
QLPB UEA 
QLPC uea 
QLPD UEB 
QLPE ueb 
QOKH pbd 
QOKI PBD 
QPNI GMC 
QPNH gmc 
QSNI OIA 
QSNH oia 
QTNI GEA 
QTNH gea 
QUKH sfc 
QUKI SFC 
QUKF sfd 
QUKG SFD 
QWPB naf 
QWPC NAF 
QWPD nbf 
QWPE NBF 
QXPB UFA 
QXPC ufa 
QXPD UFB 
QXPE ufb 
R3KH sja 
R3KI SJA 
R1PB KFA 
R1PC kfa 
R1PD KFE 
R1PE kfe 
R2DF CFH 
R2DG cfh 
R6DF cfd 
R6DG CFD 
R4PB ABG 
R4PC abg 
R4PD BBG 
R4PE bbg 
R5PB KFC 
R5PC kfc 
R5PD KFG 
R5PE kfg 
R7KH cfb 
R7KI CFB 
R7KF cfc 
R7KG CFC 
R8PB ABH 
R8PC abh 
R8PD BBH 
R8PE bbh 
RAPB KEA 
RAPC kea 
RAPD KEE 
RAPE kee 
RCKH ceb 
RCKI CEB 
RCKF cec 
RCKG CEC 
RDPB ABA 
RDPC aba 
RDPD BBA 
RDPE bba 
REPB KEC 
REPC kec 
REPD KEG 
REPE keg 
RFKH CEF 
RFKI cef 
RFKF CEG 
RFKG ceg 
RGDF ced 
RGDG CED 
RHPB ABB 
RHPC abb 
RHPD BBB 
RHPE bbb 
RIDF JAE 
RIDG jae 
RJDF CEH 
RJDG ceh 
RKDF cee 
RKDG CEE 
RLPB ABC 
RLPC abc 
RLPD BBC 
RLPE bbc 
RMPB gfa 
RMPC GFA 
RMPD gga 
RMPE GGA 
RNHG EED 
RNHF eed 
RNHH EEE 
RNHI eee 
ROII EEA 
ROIH eea 
ROIE EEB 
ROID eeb 
ROIG EEC 
ROIF eec 
RPPB ABD 
RPPC abd 
RPPD BBD 
RPPE bbd 
RQNI gla 
RQNH GLA 
RRHG EFD 
RRHF efd 
RRHH EFE 
RRHI efe 
RSII EFA 
RSIH efa 
RSIE EFB 
RSID efb 
RSIG EFC 
RSIF efc 
RTPB ABE 
RTPC abe 
RTPD BBE 
RTPE bbe 
RUDF JAF 
RUDG jaf 
RVKH CFF 
RVKI cff 
RVKF CFG 
RVKG cfg 
RWDF cfe 
RWDG CFE 
RXPB ABF 
RXPC abf 
RXPD BBF 
RXPE bbf 
SLHG MAC 
SLHF mac 
SLHH MBC 
SLHI mbc 
SXHG MAD 
SXHF mad 
SXHH MBD 
SXHI mbd 
T1KH sda 
T1KI SDA 
T1KF sdb 
T1KG SDB 
T4PB KDB 
T4PC kdb 
T4PD KDF 
T4PE kdf 
T5HG MCD 
T5HF mcd 
T5HH MDD 
T5HI mdd 
T7PB FDC 
T7PC fdc 
T7PD FDD 
T7PE fdd 
T8PB KDD 
T8PC kdd 
T8PD KDH 
T8PE kdh 
TAHG MCC 
TAHF mcc 
TAHH MDC 
TAHI mdc 
TCPB FCA 
TCPC fca 
TCPD FCB 
TCPE fcb 
TDPB KCB 
TDPC kcb 
TDPD KCF 
TDPE kcf 
TEKH sca 
TEKI SCA 
TEKF scb 
TEKG SCB 
TGPB FCC 
TGPC fcc 
TGPD FCD 
TGPE fcd 
THPB KCD 
THPC kcd 
THPD KCH 
THPE kch 
TIKH scc 
TIKI SCC 
TIKF scd 
TIKG SCD 
TJPB FDA 
TJPC fda 
TJPD FDB 
TJPE fdb 
TKPB nac 
TKPC NAC 
TKPD nbc 
TKPE NBC 
TLPB UCA 
TLPC uca 
TLPD UCB 
